roughness,brightness,thickness,curling,dirt,clip,wave,quality
250,90,0,0,0,0,0,A
260,97,2,22,0,3,1,A
288,90,1,69,1,1,3,A
255,89,2,87,1,1,2,A
251,91,2,57,1,3,3,A
278,88,2,72,1,1,3,A
272,85,2,1,0,3,2,A
305,91,1,3,1,3,1,A
294,85,1,67,0,2,2,A
310,100,2,46,2,1,2,A
301,97,1,9,1,2,2,A
277,100,1,33,1,3,3,A
294,99,1,42,2,2,1,A
273,99,2,13,0,2,3,A
254,90,1,98,2,1,3,A
259,99,2,26,1,1,3,A
256,87,2,81,0,3,1,A
259,90,1,6,2,2,2,A
274,98,1,100,1,3,2,A
310,87,2,29,2,1,1,A
302,96,2,93,1,3,1,A
261,98,2,29,2,2,3,A
279,98,2,78,2,2,1,A
277,98,1,94,2,3,3,A
272,97,2,79,0,1,1,A
276,90,1,6,2,3,3,A
264,90,2,35,0,2,2,A
258,91,1,86,0,1,1,A
254,98,2,63,1,1,2,A
306,98,1,44,1,2,1,A
294,89,2,58,0,2,1,A
259,96,2,36,1,2,1,A
273,88,1,3,1,1,3,A
304,92,2,30,2,1,3,A
275,93,1,77,2,3,1,A
269,85,1,0,0,1,1,A
310,93,2,18,2,3,3,A
303,85,2,37,2,2,3,A
250,89,1,54,1,3,3,A
278,85,2,9,0,1,2,A
270,98,1,70,1,3,2,A
305,93,1,4,0,1,2,A
260,99,2,33,0,2,2,A
301,85,2,65,1,1,3,A
251,86,1,52,1,1,3,A
305,88,1,56,1,3,3,A
254,89,2,45,0,2,2,A
273,88,1,27,2,1,1,A
255,85,2,15,0,3,1,A
285,96,2,33,1,2,2,A
297,87,1,99,1,2,3,A
280,97,2,31,2,2,3,A
293,91,1,45,1,3,1,A
297,94,2,16,0,1,1,A
291,100,2,48,1,2,1,A
275,86,2,80,0,2,3,A
301,93,1,77,2,1,2,A
262,98,1,86,1,2,2,A
288,88,2,66,0,3,2,A
281,86,1,3,1,2,2,A
261,91,1,68,1,2,1,A
255,100,1,87,1,3,1,A
276,85,2,66,2,3,1,A
254,92,2,25,1,3,1,A
263,97,1,50,0,3,2,A
